countryname,state_emp_now,occupation,public_educators,public_health_professionals,state_career,DemocracySupport,InstitutionSupport,Democracy,Education,Occupation,MiddleClass,Age,age2,Gender,Expenditures,IncDist,FreeMarket_Support,stateemployment,state_assistance,state_emp_middleclass
albania,0,financial intermediation,0.0,0.0,0.0,1.0,1,1,1.0,1.0,1.0,57.0,3249.0,1,171.6,4.0,1.0,0.0,0.0,0.0
albania,1,"agriculture, hunting and forestry",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,47.0,2209.0,1,281.7857,8.0,0.0,,0.0,0.0
albania,1,health and health work,0.0,1.0,0.0,1.0,1,1,1.0,1.0,1.0,55.0,3025.0,1,90.66666,6.0,1.0,1.0,0.0,1.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,1.0,0,0,0.0,0.0,0.0,70.0,4900.0,1,87.33334,3.0,1.0,,0.0,0.0
albania,1,education,1.0,0.0,0.0,0.0,1,0,0.0,1.0,0.0,55.0,3025.0,1,278.8889,6.0,1.0,,0.0,0.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,1.0,1,1,0.0,0.0,0.0,43.0,1849.0,1,174.2857,7.0,1.0,,0.0,0.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,1.0,1,1,1.0,1.0,1.0,45.0,2025.0,1,135.1613,6.0,1.0,1.0,0.0,1.0
albania,0,,,,,1.0,1,1,0.0,,0.0,54.0,2916.0,1,183.0,8.0,1.0,,0.0,0.0
albania,1,construction,0.0,0.0,0.0,1.0,1,1,0.0,1.0,0.0,47.0,2209.0,1,232.1739,6.0,1.0,0.0,0.0,0.0
albania,1,education,1.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,60.0,3600.0,1,134.0,5.0,1.0,1.0,0.0,0.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,1.0,1,1,1.0,1.0,1.0,47.0,2209.0,1,259.5652,6.0,1.0,1.0,0.0,1.0
albania,1,"other community, social and personal service activities",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,72.0,5184.0,1,193.5,5.0,1.0,,0.0,0.0
albania,0,manufacturing,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,34.0,1156.0,1,494.4445,5.0,1.0,,0.0,0.0
albania,1,manufacturing,0.0,0.0,0.0,1.0,1,1,0.0,1.0,0.0,56.0,3136.0,1,302.7778,6.0,1.0,,0.0,0.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,1.0,1,1,0.0,0.0,0.0,55.0,3025.0,1,445.0,4.0,1.0,1.0,0.0,0.0
albania,0,,,,,1.0,1,1,0.0,,0.0,63.0,3969.0,0,261.0,3.0,1.0,,0.0,0.0
albania,1,manufacturing,0.0,0.0,0.0,1.0,1,1,0.0,1.0,0.0,42.0,1764.0,1,299.5238,4.0,1.0,1.0,0.0,0.0
albania,0,,,,,1.0,1,1,0.0,,0.0,51.0,2601.0,1,364.8,7.0,1.0,,0.0,0.0
albania,1,"other community, social and personal service activities",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,67.0,4489.0,1,180.6667,2.0,1.0,,0.0,0.0
albania,1,education,1.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,71.0,5041.0,1,160.0,1.0,1.0,,0.0,0.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,1.0,1,1,0.0,0.0,0.0,67.0,4489.0,1,524.0,2.0,1.0,,0.0,0.0
albania,1,"wholesale and retail trade; repair of motor vehicles, motorcycles, personal and household goods",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,44.0,1936.0,0,278.6667,2.0,1.0,1.0,0.0,0.0
albania,1,education,1.0,0.0,0.0,1.0,1,1,1.0,1.0,1.0,39.0,1521.0,1,304.0,5.0,0.0,1.0,0.0,1.0
albania,1,"other community, social and personal service activities",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,71.0,5041.0,1,158.0,7.0,0.0,,0.0,0.0
albania,1,education,1.0,0.0,0.0,1.0,1,1,1.0,1.0,1.0,70.0,4900.0,1,121.0,9.0,1.0,,0.0,1.0
albania,0,construction,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,28.0,784.0,1,180.0,1.0,0.0,0.0,1.0,0.0
albania,1,manufacturing,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,57.0,3249.0,1,314.0,8.0,1.0,,0.0,0.0
albania,1,health and health work,0.0,1.0,0.0,0.0,1,0,1.0,1.0,1.0,59.0,3481.0,1,146.4,10.0,0.0,1.0,0.0,1.0
albania,1,manufacturing,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,44.0,1936.0,1,282.6087,10.0,0.0,,0.0,0.0
albania,1,"transport, communications",0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,79.0,6241.0,1,174.6667,5.0,0.0,,0.0,0.0
albania,0,,,,,0.0,1,0,0.0,,0.0,57.0,3249.0,1,57.5,2.0,0.0,,1.0,0.0
albania,1,"agriculture, hunting and forestry",0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,67.0,4489.0,1,167.0,7.0,0.0,,0.0,0.0
albania,1,education,1.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,50.0,2500.0,1,259.0476,8.0,0.0,1.0,0.0,1.0
albania,0,,,,,1.0,1,1,1.0,,,51.0,2601.0,1,209.6,7.0,1.0,,0.0,
albania,0,construction,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,48.0,2304.0,1,115.0,7.0,1.0,,1.0,0.0
albania,1,"wholesale and retail trade; repair of motor vehicles, motorcycles, personal and household goods",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,71.0,5041.0,1,392.5,8.0,1.0,,0.0,0.0
albania,1,"wholesale and retail trade; repair of motor vehicles, motorcycles, personal and household goods",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,44.0,1936.0,1,419.2,8.0,1.0,,0.0,0.0
albania,1,"agriculture, hunting and forestry",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,66.0,4356.0,1,261.5,8.0,1.0,,0.0,0.0
albania,1,financial intermediation,0.0,0.0,0.0,1.0,1,1,0.0,1.0,0.0,71.0,5041.0,1,223.3333,7.0,1.0,,0.0,0.0
